[2019-10-13 12:23:18,183], ## Epoch 70/500 Loss:105.842, MAE:155.81, MSE:219.15, Best MAE:132.15
[2019-10-13 12:24:07,459], ## Epoch 71/500 Loss:95.946, MAE:132.82, MSE:206.80, Best MAE:132.15
[2019-10-13 12:24:56,689], ## Epoch 72/500 Loss:97.139, MAE:141.49, MSE:205.09, Best MAE:132.15
[2019-10-13 12:25:45,968], ## Epoch 73/500 Loss:101.069, MAE:131.61, MSE:203.92, Best MAE:132.15
[2019-10-13 12:26:35,538], ## Epoch 74/500 Loss:95.511, MAE:132.08, MSE:205.12, Best MAE:131.61
[2019-10-13 12:27:25,135], ## Epoch 75/500 Loss:94.308, MAE:134.64, MSE:198.13, Best MAE:131.61
[2019-10-13 12:28:14,908], ## Epoch 76/500 Loss:92.372, MAE:132.00, MSE:200.79, Best MAE:131.61
[2019-10-13 12:29:03,802], ## Epoch 77/500 Loss:96.733, MAE:128.44, MSE:196.38, Best MAE:131.61
[2019-10-13 12:29:52,940], ## Epoch 78/500 Loss:90.052, MAE:136.87, MSE:207.76, Best MAE:128.44
[2019-10-13 12:30:41,891], ## Epoch 79/500 Loss:95.611, MAE:142.36, MSE:206.34, Best MAE:128.44
[2019-10-13 12:31:31,483], ## Epoch 80/500 Loss:103.074, MAE:172.70, MSE:236.57, Best MAE:128.44
[2019-10-13 12:32:21,289], ## Epoch 81/500 Loss:96.580, MAE:127.27, MSE:195.96, Best MAE:128.44
[2019-10-13 12:33:10,608], ## Epoch 82/500 Loss:99.149, MAE:127.96, MSE:195.88, Best MAE:127.27
[2019-10-13 12:33:59,801], ## Epoch 83/500 Loss:95.915, MAE:195.76, MSE:259.36, Best MAE:127.27
[2019-10-13 12:34:48,614], ## Epoch 84/500 Loss:95.453, MAE:135.90, MSE:200.08, Best MAE:127.27
[2019-10-13 12:35:37,721], ## Epoch 85/500 Loss:89.411, MAE:132.10, MSE:203.27, Best MAE:127.27
[2019-10-13 12:36:26,756], ## Epoch 86/500 Loss:90.805, MAE:170.95, MSE:238.52, Best MAE:127.27
[2019-10-13 12:37:16,194], ## Epoch 87/500 Loss:102.386, MAE:146.55, MSE:212.58, Best MAE:127.27
[2019-10-13 12:38:05,306], ## Epoch 88/500 Loss:95.064, MAE:123.55, MSE:195.33, Best MAE:127.27
[2019-10-13 12:38:55,198], ## Epoch 89/500 Loss:105.841, MAE:155.15, MSE:211.20, Best MAE:123.55
[2019-10-13 12:39:44,459], ## Epoch 90/500 Loss:94.479, MAE:127.65, MSE:202.77, Best MAE:123.55
[2019-10-13 12:40:33,287], ## Epoch 91/500 Loss:98.319, MAE:162.59, MSE:262.59, Best MAE:123.55
[2019-10-13 12:41:21,985], ## Epoch 92/500 Loss:90.900, MAE:121.59, MSE:186.77, Best MAE:123.55
[2019-10-13 12:42:10,879], ## Epoch 93/500 Loss:88.705, MAE:128.32, MSE:186.43, Best MAE:121.59
[2019-10-13 12:43:00,086], ## Epoch 94/500 Loss:92.465, MAE:185.52, MSE:243.76, Best MAE:121.59
[2019-10-13 12:43:49,066], ## Epoch 95/500 Loss:94.855, MAE:160.16, MSE:216.92, Best MAE:121.59
[2019-10-13 12:44:38,129], ## Epoch 96/500 Loss:93.908, MAE:156.40, MSE:218.76, Best MAE:121.59
[2019-10-13 12:45:28,038], ## Epoch 97/500 Loss:90.288, MAE:117.23, MSE:178.49, Best MAE:121.59
[2019-10-13 12:46:17,470], ## Epoch 98/500 Loss:100.431, MAE:151.98, MSE:208.20, Best MAE:117.23
[2019-10-13 12:47:06,922], ## Epoch 99/500 Loss:91.757, MAE:143.25, MSE:230.10, Best MAE:117.23
[2019-10-13 12:47:56,068], ## Epoch 100/500 Loss:97.355, MAE:168.42, MSE:227.71, Best MAE:117.23
[2019-10-13 12:48:45,255], ## Epoch 101/500 Loss:91.311, MAE:212.30, MSE:299.67, Best MAE:117.23
[2019-10-13 12:49:34,622], ## Epoch 102/500 Loss:92.774, MAE:118.13, MSE:177.28, Best MAE:117.23
[2019-10-13 12:50:23,810], ## Epoch 103/500 Loss:96.567, MAE:153.55, MSE:219.73, Best MAE:117.23
[2019-10-13 12:51:13,245], ## Epoch 104/500 Loss:88.624, MAE:120.89, MSE:186.62, Best MAE:117.23
[2019-10-13 12:52:02,785], ## Epoch 105/500 Loss:89.578, MAE:142.29, MSE:207.56, Best MAE:117.23
[2019-10-13 12:52:51,950], ## Epoch 106/500 Loss:87.220, MAE:132.95, MSE:210.32, Best MAE:117.23
[2019-10-13 12:53:41,474], ## Epoch 107/500 Loss:86.733, MAE:119.01, MSE:191.10, Best MAE:117.23
[2019-10-13 12:54:30,624], ## Epoch 108/500 Loss:100.389, MAE:179.93, MSE:269.41, Best MAE:117.23
[2019-10-13 12:55:20,132], ## Epoch 109/500 Loss:85.124, MAE:139.81, MSE:218.96, Best MAE:117.23
[2019-10-13 12:56:09,598], ## Epoch 110/500 Loss:94.533, MAE:142.69, MSE:218.58, Best MAE:117.23
[2019-10-13 12:56:58,599], ## Epoch 111/500 Loss:89.785, MAE:143.47, MSE:223.55, Best MAE:117.23
[2019-10-13 12:57:47,886], ## Epoch 112/500 Loss:93.402, MAE:176.00, MSE:247.06, Best MAE:117.23
[2019-10-13 12:58:36,894], ## Epoch 113/500 Loss:80.450, MAE:139.75, MSE:199.05, Best MAE:117.23
[2019-10-13 12:59:25,637], ## Epoch 114/500 Loss:90.638, MAE:139.81, MSE:195.94, Best MAE:117.23
[2019-10-13 13:00:14,606], ## Epoch 115/500 Loss:84.092, MAE:122.28, MSE:192.10, Best MAE:117.23
[2019-10-13 13:01:03,441], ## Epoch 116/500 Loss:100.224, MAE:117.44, MSE:186.28, Best MAE:117.23
[2019-10-13 13:01:53,323], ## Epoch 117/500 Loss:90.997, MAE:147.90, MSE:226.02, Best MAE:117.23
